Year,Date,Open,High,Low,Close,Adj Close,Volume
2015,13,235.2,235.9,229.3,230.5,230.5,18.50000
2015,14,230.6,232.4,228,230.6,230.6,21.00000
2015,15,230.5,259.2,229.8,230.3,230.3,19.20000
2015,16,230.3,231.2,227.4,229.1,229.1,20.10000
2015,17,229.1,230.3,228.9,229.8,229.8,18.90000
2015,18,233.5,234.4,232.2,233,233,20.20000
2015,19,232.9,233.2,231.1,231.5,231.5,12.70000
2015,20,231.4,232.4,230.9,231.2,231.2,14.40000
2015,21,231.2,231.2,226.5,227.1,227.1,19.70000
2015,22,227,232.4,225.1,230.6,230.6,25.00000
2015,23,230.9,231.8,229.6,230.3,230.3,17.30000
2015,24,230.4,235.6,230.3,234.5,234.5,25.10000
2015,25,234.4,237.4,233.7,235.1,235.1,22.40000
2015,26,235.1,235.4,233.4,234.3,234.3,13.70000
2015,27,234.1,234.5,232.5,232.8,232.8,14.20000
2015,28,232.8,239.3,232.5,239.1,239.1,24.70000
2015,29,239,239.8,235.9,236.7,236.7,22.70000
2015,30,236.6,237.7,235.6,236.1,236.1,19.70000
2015,1,236,238.4,235.6,237.5,237.5,20.50000
2015,2,237.3,238.5,236.6,237.3,237.3,19.70000
2015,3,237.2,239.3,236.9,238.7,238.7,16.50000
2015,4,238.5,239,237.9,238.3,238.3,13.00000
2015,5,238.1,240.4,237,240.4,240.4,23.30000
2015,6,240.4,246.9,240.1,246.1,246.1,27.50000
2015,7,246.2,246.7,242.6,243,243,23.00000
2015,8,243.1,244.3,242.2,242.3,242.3,18.50000
2015,9,242.5,244.2,242.1,243.9,243.9,17.40000
2015,10,243.7,245.3,243.1,244.9,244.9,15.90000
2015,11,244.7,247.2,244.2,247.1,247.1,16.80000
2015,12,246.9,247.5,245.2,245.3,245.3,17.40000
2015,13,245.2,250.2,243.8,249.5,249.5,28.20000
2015,14,249.5,254.3,248.9,252,252,27.50000
2015,15,252.1,256,252,254.3,254.3,25.20000
2015,16,254.3,266.1,253.9,262.9,262.9,35.90000
2015,17,262.7,273.6,262.4,270.6,270.6,43.20000
2015,18,270.9,271.7,260.8,261.6,261.6,22.40000
2015,19,261.9,264.8,261,263.4,263.4,25.30000
2015,20,263.6,270.8,263.2,269.5,269.5,30.90000
2015,21,269.3,270.8,263.8,266.3,266.3,25.60000
2015,22,266.5,276.5,266.1,274,274,37.80000
2015,23,273.6,278.7,273.5,276.5,276.5,29.40000
2015,24,276.5,281.7,276.5,281.7,281.7,25.90000
2015,25,281.4,294.1,281.4,283.7,283.7,45.70000
2015,26,283.6,285.3,280.5,285.3,285.3,32.10000
2015,27,285.2,296.2,285,293.8,293.8,46.30000
2015,28,293.7,306.3,293.7,304.6,304.6,50.80000
2015,29,304.3,318.2,301.8,313.9,313.9,64.50000
2015,30,313.9,334.2,313.9,328,328,78.30000
2015,31,328.5,332.8,309.3,314.2,314.2,48.60000
2015,1,315,327.5,311.9,325.4,325.4,37.00000
2015,2,325.9,365.4,323.2,361.2,361.2,102.00000
2015,3,361.9,417.9,357.6,403.4,403.4,206.00000
2015,4,403.7,495.6,380.5,411.6,411.6,264.00000
2015,5,408.1,447.6,374.6,386.4,386.4,152.00000
2015,6,388,395.8,354,374.5,374.5,123.00000
2015,7,374.3,390.6,372.4,386.5,386.5,56.60000
2015,8,384.3,389.9,368.7,373.4,373.4,51.80000
2015,9,374.3,385.3,362.9,380.3,380.3,68.20000
2015,10,380,381.4,329.1,336.8,336.8,95.80000
2015,11,339.8,340.6,301,311.1,311.1,107.00000
2015,12,314.1,345.1,313.4,338.2,338.2,78.50000
2015,13,338.5,340.9,326.1,336.8,336.8,52.00000
2015,14,336.6,338.2,330,332.9,332.9,38.60000
2015,15,333.1,334.7,317.5,320.2,320.2,44.20000
2015,16,319.7,331.6,315.9,330.8,330.8,48.00000
2015,17,330.4,338.4,329.6,335.1,335.1,51.00000
2015,18,334.6,336.5,330.6,334.6,334.6,43.80000
2015,19,334.7,335.3,325.3,326.1,326.1,45.00000
2015,20,326.4,326.5,312.2,322,322,53.20000
2015,21,322.1,328.2,319.6,326.9,326.9,28.20000
2015,22,327,327,321.3,324.5,324.5,23.40000
2015,23,324.4,325.1,321.3,323,323,27.50000
2015,24,323,323.1,318.1,320,320,29.40000
2015,25,320,329.1,316.8,328.2,328.2,41.70000
2015,26,328.3,366.8,328.2,352.7,352.7,106.00000
2015,27,351.9,363.6,347.9,358,358,55.20000
2015,28,357.1,359.5,352.2,357.4,357.4,36.80000
2015,29,357.5,371.9,355.7,371.3,371.3,40.40000
2015,30,371.4,382.4,370.4,377.3,377.3,71.70000
2015,1,377.4,378.9,356.6,362.5,362.5,60.50000
2015,2,361.8,362.2,349.5,359.2,359.2,54.20000
2015,3,359.3,370.3,357.4,361,361,50.70000
2015,4,361.3,363.5,355.8,363.2,363.2,35.80000
2015,5,363.7,389.8,363.2,388.9,388.9,66.30000
2015,6,389.6,402.8,387.1,388.8,388.8,77.80000
2015,7,390,400,385.4,395.5,395.5,63.50000
2015,8,395.8,415.6,390,415.6,415.6,57.80000
2015,9,414.4,423.1,406.3,417.6,417.6,90.90000
2015,10,418,419.5,411.5,415.5,415.5,52.10000
2015,11,415.3,451.9,415.3,451.9,451.9,111.00000
2015,12,452.3,469.1,410.7,435,435,132.00000
2015,13,431.7,441.7,426.3,433.8,433.8,55.10000
2015,14,433.3,447.1,430.5,444.2,444.2,130.00000
2015,15,443.9,465.3,443.9,465.3,465.3,83.10000
2015,16,465.2,465.2,443.9,454.9,454.9,108.00000
2015,17,454.8,457.9,448.9,456.1,456.1,48.00000
2015,18,455.8,465.2,454.9,463.6,463.6,60.20000
2015,19,463.6,465.6,456.8,462.3,462.3,47.90000
2015,20,462.2,462.6,434.3,442.7,442.7,75.40000
2015,21,442.8,444.7,427.3,438.6,438.6,77.60000
2015,22,437.4,443.7,435.5,436.6,436.6,50.80000
2015,23,436.7,444.5,436.6,442.4,442.4,47.20000
2015,24,443.1,458.5,443.1,455,455,57.20000
2015,25,454.9,458.3,452.1,455.7,455.7,39.10000
2015,26,455.8,457.5,405.8,417.3,417.3,116.00000
2015,27,416.5,424,408.9,422.8,422.8,53.60000
2015,28,423.3,429.8,418.5,422.3,422.3,49.60000
2015,29,422.1,433,420.6,433,433,51.60000
2015,30,433.3,434.4,422.1,426.6,426.6,46.90000
2015,31,425.9,432.9,418.7,430.6,430.6,46.00000
2016,1,430.7,436.2,427.5,434.3,434.3,36.30000
2016,2,434.6,436.1,431.9,433.4,433.4,30.10000
2016,3,433.6,433.7,424.7,430,430,39.60000
2016,4,430.1,434.5,429.1,433.1,433.1,38.50000
2016,5,433.1,434.2,429.7,432,432,34.50000
2016,6,431.9,431.9,426.3,429.1,429.1,34.00000
2016,7,430,458.8,429.1,458,458,87.60000
2016,8,457.5,462.9,447.9,453.2,453.2,57.00000
2016,9,453.4,454.6,446.9,447.6,447.6,32.30000
